"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","2017-03","29","2,S","0","2,S",,,,,"22.5","2,S","29.3","2,,,S","15.7","1,,,S"
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","2017-04","30",",S","2",",S",,,,,"19.8",",S","26.1",",,,S","13.4",",,,S"
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","2017-05","26",",S","0",",S",,,,,"16.8",",S","23.7",",,,S","9.9",",,,S"
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","2017-06","22",",S","0",",S",,,,,"14.9",",S","22.1",",,,S","7.7",",,,S"
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","2017-07","29",",S","0",",S",,,,,"15.3",",S","22.6",",,,S","8.0",",,,S"
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","2017-08","23","2,S","0","2,S",,,,,"16.0","6,S","23.0","2,,,S","9.0","5,,,S"
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","2017-09","27","3,S","3","3,S",,,,,,,"29.0","3,,,S",,
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","2017-10","29","2,S","0","2,S",,,,,"20.6","5,S","27.7","2,,,S","13.4","4,,,S"
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","2017-11","28","2,S","6","2,S",,,,,"22.3","4,S","29.5","2,,,S","15.1","4,,,S"
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","2017-12","28","3,S","2","3,S",,,,,"23.4","4,S","29.8","3,,,S","17.1","3,,,S"
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","2018-01","30","1,S","12","1,S",,,,,"23.8","2,S","30.8","1,,,S","16.9","1,,,S"
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","2018-02","28",",S","0",",S",,,,,"22.9","2,S","28.5",",,,S","17.3","2,,,S"
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","2018-03","29",",S","0",",S",,,,,"22.1",",S","27.9",",,,S","16.2",",,,S"
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","2018-04","30",",S","0",",S",,,,,"20.0",",S","26.0",",,,S","14.0",",,,S"
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","2018-05","25",",S","0",",S",,,,,"16.8",",S","23.4",",,,S","10.2",",,,S"
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","2018-07","11",",S","0",",S",,,,,"13.4",",S","20.3",",,,S","6.5",",,,S"
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","2018-08","26","5,S","0","5,S",,,,,,,"26.1","5,,,S",,
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","2018-09","28","2,S","7","2,S",,,,,"21.0","2,S","29.3","2,,,S","12.6","2,,,S"
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","2018-10","29","1,S","6","1,S",,,,,"21.1","1,S","29.0","1,,,S","13.2",",,,S"
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","2018-12","31",",S","18",",S",,,,,"25.1",",S","32.3",",,,S","17.9",",,,S"
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","2019-01","30",",S","9",",S",,,,,"23.9",",S","30.0",",,,S","17.7",",,,S"
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","2019-02","28",",S","0",",S",,,,,"23.1",",S","29.1",",,,S","17.2",",,,S"
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","2019-03","31",",S","8",",S",,,,,"24.1",",S","30.8",",,,S","17.3",",,,S"
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","2019-04","28",",S","0",",S",,,,,"19.1",",S","24.8",",,,S","13.4",",,,S"
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","2019-05","30",",S","0",",S",,,,,"17.1",",S","24.4",",,,S","9.8",",,,S"
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","2019-06","19","1,S","0","1,S",,,,,"13.9","1,S","21.8","1,,,S","6.0",",,,S"
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","2019-07","21",",S","0",",S",,,,,"13.8",",S","22.2",",,,S","5.5",",,,S"
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","2019-08","31",",S","0",",S",,,,,"18.1",",S","26.1",",,,S","10.1",",,,S"
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","2019-09","28",",S","0",",S",,,,,"19.1",",S","27.6",",,,S","10.5",",,,S"
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","2019-10","31",",S","11",",S",,,,,"23.1",",S","31.3",",,,S","14.8",",,,S"
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","2019-11","30",",S","2",",S",,,,,"22.9","1,S","29.7",",,,S","16.0","1,,,S"
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","2019-12","22","4,S","3","4,S",,,,,"22.0","5,S","27.5","4,,,S","16.6","3,,,S"
"SFM00068263","PRETORIA IRENE, SF","-25.917","28.217","1500.0","2020-01","31",",S","0",",S",,,,,,,"28.7",",,,S",,
