"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-01","1.04","59","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-02","0.18","56","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-03","0.05","53","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-04","0.00","55","40"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-05","0.00","61","41"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-06","0.00","65","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-07","0.01","70","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-08","0.01","65","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-09","0.00","65","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-10","0.00","57","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-11","0.00","67","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-12","0.11","70","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-13","0.26","62","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-14","0.08","59","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-15","0.14","59","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-16","0.15","56","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-17","0.00","56","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-18","0.00","56","41"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-19","0.00","62","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-20","0.42","58","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-21","0.13","65","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-22","0.55","61","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-23","0.00","59","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-24","0.13","57","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-25","0.06","57","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-26","0.00","62","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-27","0.00","72","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-28","0.00","77","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-29","0.00","81","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-30","0.00","79","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-31","0.00","64","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-01","0.00","67","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-02","0.00","63","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-03","0.00","65","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-04","0.00","63","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-05","0.11","63","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-06","1.11","64","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-07","0.64","64","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-08","0.00","64","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-09","0.00","75","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-10","0.00","65","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-11","0.22","65","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-12","0.00","63","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-13","0.00","66","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-14","0.00","71","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-15","0.05","64","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-16","0.11","57","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-17","0.00","63","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-18","0.00","60","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-19","0.00","63","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-20","0.00","67","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-21","0.00","75","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-22","0.00","76","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-23","0.00","74","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-24","0.00","66","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-25","0.00","65","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-26","0.00","63","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-27","0.00","67","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-28","0.00","66","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-29","0.00","64","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-30","0.00","63","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-01","0.00","67","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-02","0.00","67","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-03","0.00","66","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-04","0.00","69","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-05","0.00","61","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-06","0.00","65","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-07","0.00","71","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-08","0.00","70","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-09","0.00","67","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-10","0.00","66","52"
